Month,Location,Days
January,Peru,6
January,Barcelona,18
January,Belgium,5
January,Andorra,2
February,Barcelona,26
February,Vienna,2
March,Poland,2
March,Barcelona,29
April,Begur,3
April,Zurich,4
April,Belgium,3
April,Barcelona,20
May,Belgium,5
May,Dubai,5
May,Helsinki,2
May,Barcelona,19
June,Bucharest,3
June,Budapest,1
June,Berlin,2
June,Barcelona,24
July,La Gomera,9
July,Fuerteventura,2
July,Belgium,2
July,Barcelona,18
August,Belgium,12
August,Prague,3
August,Georgia,9
August,Barcelona,7
September,Greece,1
September,Italy,5
September,Sotogrande,5
September,Barcelona,19
October,Barcelona,31
November,Morocco,2
November,Belgium,5
November,Barcelona,21
December,Peru,14
December,Barcelona,5
December,Belgium,12
